weight_profile,damage_weight,survival_weight,distance_weight,gen,best_fitness,avg_fitness
baseline,10.0,1.0,5.0,0,174.64691605755775,123.93725940568496
baseline,10.0,1.0,5.0,1,174.64691605755775,148.9639298638253
baseline,10.0,1.0,5.0,2,174.64691605755775,160.42390611248203
baseline,10.0,1.0,5.0,3,174.64691605755775,157.5669628087997
baseline,10.0,1.0,5.0,4,175.73311601712504,164.23801538483656
baseline,10.0,1.0,5.0,5,175.73311601712504,168.56865332272028
baseline,10.0,1.0,5.0,6,181.04595937421925,163.04693308673495
baseline,10.0,1.0,5.0,7,181.04595937421925,174.43551415475696
baseline,10.0,1.0,5.0,8,189.51639930645035,178.40913634734326
baseline,10.0,1.0,5.0,9,191.06371560566043,181.1986107018677
baseline,10.0,1.0,5.0,10,192.8684936039523,186.61038690753907
baseline,10.0,1.0,5.0,11,193.2444389304991,187.59571831130853
baseline,10.0,1.0,5.0,12,201.46595515347644,191.1277579053972
distance_focus,8.0,1.0,8.0,0,191.43010589865492,133.2963591365992
distance_focus,8.0,1.0,8.0,1,191.43010589865492,160.81443112915116
distance_focus,8.0,1.0,8.0,2,191.43010589865492,173.23519322750647
distance_focus,8.0,1.0,8.0,3,191.43010589865492,168.61703557007382
distance_focus,8.0,1.0,8.0,4,192.0672784060618,181.0860115715455
distance_focus,8.0,1.0,8.0,5,192.0672784060618,185.41969932424752
distance_focus,8.0,1.0,8.0,6,195.631445718101,188.75686932470708
distance_focus,8.0,1.0,8.0,7,196.59054463285833,189.77917188783547
distance_focus,8.0,1.0,8.0,8,198.3061832935648,191.21810301758043
distance_focus,8.0,1.0,8.0,9,203.55576071028165,193.7783233884944
distance_focus,8.0,1.0,8.0,10,203.55576071028165,194.80512216840415
distance_focus,8.0,1.0,8.0,11,206.93966480749924,199.7720580677621
distance_focus,8.0,1.0,8.0,12,206.93966480749924,203.01435112590815
